serialId|bookNum|shortName|name|bookCategory|authorId|publisher|lanId|edition|volume|pages|price|remarks|status
BK174|KFB OF ABC|KFB OF ABC|KIDS FIRST BOOK OF ABC|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK209|KFBOABC|KFBOABC|KIDS FIRST BOOK OF ABC|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK461|KNB50|KNB50|KIDS NUMBER BOOK 1-50|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK532|KKWS|KKWS|KINDER KIDS WORK SHEET SETS|{ "$ref" : "bookCategory", "$id" : 51}|44|{ "$ref" : "publisher", "$id" : 45}|46|1|1|0|0||1
BK98|LBD1-100|LBD1-100|L.B.D MATHEMATICS 1-100|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK97|LBD1-50|LBD1-50|L.B.D MATHEMATICS 1-50|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK93|LBDMP|LBDMP|L.B.D MATHEMATICS PRIMER|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK511|LMM9|LMM9|LAB MANUAL MATHEMATICS IX|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK512|LMM10|LMM10|LAB MANUAL MATHEMATICS X|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK513|LMS9|LMS9|LAB MANUAL SCIENCE IX|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK514|LMS10|LMS10|LAB MANUAL SCIENCE X|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK330|1125|LBDMP|LEARNING BY DOING MATHS PRIMER|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK90|LEPP|LEPP|LEARNING ENGLISH PRE-PRIMER|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK91|LEP|LEP|LEARNING ENGLISH PRIMER|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK322|LEWBP|LEWBP|LEARNING ENGLISH WORKBOOK PRIMER|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK92|LEWP|LEWP|LEARNING ENGLISH WORKBOOK PRIMER |{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK73|LN100|LN100|LEARNING NUMBERS (1-100)|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK72|LN50|LN50|LEARNING NUMBERS (1-50)|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK153|L2WC|L2WC|LEARNING TO WRITE CAPITAL|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK29|L2W1|L2W1|LEARNING TO WRITE PART I|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK30|L2W2|L2W2|LEARNING TO WRITE PART II|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK31|L2W3|L2W3|LEARNING TO WRITE PART III|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK32|L2W4|L2W4|LEARNING TO WRITE PART IV|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK33|L2W5|L2W5|LEARNING TO WRITE PART V|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK34|L2W6|L2W6|LEARNING TO WRITE PART VI|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK35|L2W7|L2W7|LEARNING TO WRITE PART VII|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK36|L2W8|L2W8|LEARNING TO WRITE PART VIII|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK13|L2WS&C|L2WS&C|LEARNING TO WRITE SMALL& CAPITAL|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK7|101|LUL PP 1|LET US LEARN PRE PRIMER TERM I|{ "$ref" : "bookCategory", "$id" : 43}|47|{ "$ref" : "publisher", "$id" : 48}|46|2|1|0|92||1
BK14|LULPP1|LULPP1|LET US LEARN PRE PRIMER TERM I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK8|102|LUL PP2|LET US LEARN PRE PRIMER TERM II|{ "$ref" : "bookCategory", "$id" : 43}|47|{ "$ref" : "publisher", "$id" : 48}|46|2|1|0|92||1
BK15|LULPP2|LULPP2|LET US LEARN PRE PRIMER TERM II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK9|103|LUL PP3|LET US LEARN PRE PRIMER TERM III|{ "$ref" : "bookCategory", "$id" : 43}|47|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|92||1
BK16|LULPP3|LULPP3|LET US LEARN PRE PRIMER TERM III|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
