serialId|bookNum|shortName|name|bookCategory|authorId|publisher|lanId|edition|volume|pages|price|remarks|status
BK220|NELP2|NELP2|NEW EASY LEARNING PRIMER II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK221|NELP3|NELP3|NEW EASY LEARNING PRIMER III|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK260|NKW1|NKW1|NEW KNOWLEDGE WORLD I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK261|NKW2|NKW2|NEW KNOWLEDGE WORLD II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK262|NKW3|NKW3|NEW KNOWLEDGE WORLD III|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK263|NKW4|NKW4|NEW KNOWLEDGE WORLD IV|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK264|NKW5|NKW5|NEW KNOWLEDGE WORLD V|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK265|NKW6|NKW6|NEW KNOWLEDGE WORLD VI|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK266|NKW7|NKW7|NEW KNOWLEDGE WORLD VII|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK267|NKW8|NKW8|NEW KNOWLEDGE WORLD VIII|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 45}|46|1|1|0|0||1
BK346|NSF1||NEW SEARCH AND FIND I|{ "$ref" : "bookCategory", "$id" : 54}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK347|NSF2||NEW SEARCH AND FIND II|{ "$ref" : "bookCategory", "$id" : 54}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
